OBJECTID,COD_VOLCAD,A├æO,FECHA,EVENTO_SIR,COD_SIGAU,COD_ESPEC,NOMBRE_COM,DAP,H,DC,AC,AI,PPT,VV,EM_COD,ESPACIO,LOC_COD,LOC_NOM,BARRIO,X,Y,mes,nombre_mes
34,V34,2011,2011-06-25,115661,15010201000034,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.0,6.54633669,0.0,0.0,0,2.5,4.4,L3,NO REGISTRA,15,ANTONIO NARI├ö├Â┬úÔö£┬¬O,DESARROLLO EL RESTREPO,-74.102898508,4.583216293,6.0,June
35,V35,2011,2011-06-30,115839,13020801000166,118,Acacia morada,0.0,7.0,0.0,0.0,0,1.9,3.2,U13,NO REGISTRA,13,TEUSAQUILLO,TEUSAQUILLO,-74.072107113,4.624602333,6.0,June
36,V36,2011,2011-07-05,116016,08010303000081,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.149605296664,6.0,9.15,4.88642845,9,0.8,3.0,L3,NO REGISTRA,8,KENNEDY,URBANIZACION CASTILLA,-74.142848171,4.640606066,7.0,July
37,V37,2011,2011-07-05,116016,08010303000419,3,"Cipres, Pino cipres, Pino",0.0,3.0,0.0,0.0,7,0.8,3.0,SIN INFORMACION,NO REGISTRA,8,KENNEDY,URBANIZACION CASTILLA,-74.142848168,4.640606067,7.0,July
38,V38,2011,2011-07-08,116170,11010305000712,25,Acacia japonesa,0.111408199643,5.0,5.0,3.68984615,9,0.9,3.3,L3,NO REGISTRA,11,SUBA,CONJUNTO ALHAMBRA SECTOR SUR ORIENTAL COLPATRIA,-74.056854816,4.696833015,7.0,July
39,V39,2011,2011-07-09,116211,12010401000223,3,"Cipres, Pino cipres, Pino",0.0,7.0,0.0,0.0,0,0.6,2.8,U13,NO REGISTRA,12,BARRIOS UNIDOS,JOSE JOAQUIN VARGAS,-74.084332206,4.6694393,7.0,July
40,V40,2011,2011-07-11,116279,16011202000086,37,Caucho sabanero,0.0,8.0,0.0,0.0,0,0.3,5.0,L3,NO REGISTRA,16,PUENTE ARANDA,CAMELIA NORTE,-74.117024888,4.615096878,7.0,July
41,V41,2011,2011-07-11,NO REGISTRA,02010906000092,118,Acacia morada,0.248281130634,8.0,10.3,7.35721804,0,0.6,3.7,L3,NO REGISTRA,2,CHAPINERO,CHICO RESERVADO II SECTOR,-74.047771493,4.68271941,7.0,July
42,V42,2011,2011-07-23,116765,11011803000467,3,"Cipres, Pino cipres, Pino",0.229182582124,6.0,6.0,7.2229537,2,3.1,2.7,H4,NO REGISTRA,11,SUBA,URBANIZACION LA PUERTA DEL SOL,-74.10336183,4.746262271,7.0,July
43,V43,2011,2011-07-28,116968,11012003000104,26,"Acacia negra, gris",0.439266615737,11.0,10.9,4.94905764,8,6.2,3.6,L3,NO REGISTRA,11,SUBA,URBANIZACION BOCHALEMA,-74.095314345,4.742675798,7.0,July
44,V44,2011,2011-08-16,146322,08011003003048,24,"Urapan, fresno",0.299210593328,4.0,9.0,5.72187601,3,1.2,2.7,U14,NO REGISTRA,8,KENNEDY,URBANIZACION LAS AMERICAS SECTOR AVENIDA GALAN,-74.138227022,4.623647556,8.0,August
45,V45,2011,2011-08-25,178683,10011201000337,42,Eugenia,0.0859434682964,4.0,5.3,3.21111817,2,1.0,3.1,U7,NO REGISTRA,10,ENGATIVA,SANTA ROSITA,-74.109084003,4.706691,8.0,August
46,V46,2011,2011-08-25,179270,15010207000227,42,Eugenia,0.0,6.0,0.0,0.0,0,1.5,2.5,U11,NO REGISTRA,15,ANTONIO NARI├ö├Â┬úÔö£┬¬O,BARRIO LA HORTUA,-74.090222533,4.590643815,8.0,August
47,V47,2011,2011-10-05,287536,01023106000112,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.111408199643,7.0,4.3,1.97526148,14,3.2,3.8,P1,NO REGISTRA,1,USAQUEN,FONTANA DE CAPRI,-74.025727182,4.75808962,10.0,October
48,V48,2011,2011-11-14,386450,09013703000076,145,Algodoncillo,0.878533231474,9.95272929,10.9,7.50603747,13,12.3,2.6,L3,NO REGISTRA,9,FONTIBON,URBANIZACION LA GIRALDA I SECTOR,-74.140756257,4.681183494,11.0,November
49,V49,2011,2011-11-19,399239,01021003000226,79,"Chicala, chirlobirlo, flor amarillo",0.49337916985,7.70513231,7.3,5.75496729,6,3.7,3.6,U13,NO REGISTRA,1,USAQUEN,URBANIZACION BACATA,-74.029114911,4.701388963,11.0,November
50,V50,2011,2011-12-16,486758,01020604000017,44,Guayacan de manizales,0.53157626687,8.0,6.4,6.46168235,3,6.5,2.8,L3,NO REGISTRA,1,USAQUEN,URBANIZACION NUEVA SANTA BARBARA CENTRAL,-74.041094653,4.699367999,12.0,December
51,V51,2011,2012-01-06,539497,09010601000733,118,Acacia morada,0.270562770563,11.81153479,12.5,7.9302435,5,8.7,3.5,L3,NO REGISTRA,9,FONTIBON,CIUDAD SALITRE,-74.109888184,4.650100715,1.0,January
52,V52,2011,2012-02-16,634459,11012503000771,118,Acacia morada,0.502928444105,8.88552346,9.84,5.00988255,3,10.4,3.4,L3,NO REGISTRA,11,SUBA,URBANIZACION  SAN DIEGO,-74.054177996,4.745900121,2.0,February
53,V53,2012,2012-04-16,2012ER059366,09011903000277,26,"Acacia negra, gris",0.579322638146,7.0,7.1,16.46252664,5,6.7,3.0,P1,NO REGISTRA,9,FONTIBON,BARRIO SAN JOSE DE FONTIBON,-74.132914007,4.687247255,4.0,April
54,V54,2012,2012-04-19,790817,08010204000198,27,Acacia de jardin,0.232365673542,9.0,7.7,5.19772754,4,4.8,3.4,L3,NO REGISTRA,8,KENNEDY,URBANIZACION TINTALA,-74.156849527,4.646511011,4.0,April
55,V55,2012,2012-04-23,805759,11011802000091,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.21645021645,6.0,4.6,4.2080778,5,0.7,2.8,P1,NO REGISTRA,11,SUBA,SAN ANDRES AFIDRO,-74.10994571,4.749056317,4.0,April
56,V56,2012,2012-04-26,813134,11012003000421,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.175070028011,6.0,3.7,3.90002805,4,0.1,4.1,U10,NO REGISTRA,11,SUBA,EL POA LOTE A,-74.097664785,4.742799596,4.0,April
57,V57,2012,2012-04-30,824630,09011705000007,61,"Jazmin del cabo, laurel huesito",0.0,7.0,2.16,5.89191858,3,0.8,3.1,P1,NO REGISTRA,9,FONTIBON,EL HACIENDA EL ESCRITORIO,-74.158745098,4.695196282,4.0,April
58,V58,2012,2012-05-03,835326,06010201000233,37,Caucho sabanero,0.0,8.0,2.4,2.3102361,0,2.7,3.0,U14,NO REGISTRA,6,TUNJUELITO,RINCON DE NUEVO MUZO,-74.150333016,4.585136682,5.0,May
59,V59,2012,2012-07-22,1037320,01012104000162,26,"Acacia negra, gris",0.0,6.94734859,5.6,6.23521729,13,3.2,3.2,U8,NO REGISTRA,1,USAQUEN,LICEO CERVANTES,-74.047159823,4.737397336,7.0,July
60,V60,2012,2012-08-02,1074616,18010701000580,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.0,5.65015651,0.0,0.0,0,3.7,4.6,U13,NO REGISTRA,18,RAFAEL URIBE URIBE,CONJUNTO RESIDENCIAL BOSQUE DE SAN CARLOS,-74.105409549,4.573733287,8.0,August
61,V61,2012,2012-08-28,1109437,15010104000085,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.0,11.0,0.0,0.0,0,0.9,4.2,H4,NO REGISTRA,15,ANTONIO NARI├ö├Â┬úÔö£┬¬O,CIUDAD JARDIN URBANIZACION,-74.094826055,4.584185983,8.0,August
62,V62,2012,2012-10-14,1190667,10011705000088,118,Acacia morada,0.0732111026229,7.0,3.0,1.40438512,1,1.2,4.3,P1,NO REGISTRA,10,ENGATIVA,EL CORTIJO,-74.122244119,4.723626216,10.0,October
63,V63,2012,2012-10-17,1190730,01014103000059,37,Caucho sabanero,0.143239113827,9.0,12.1,5.31946367,8,18.1,2.9,U4,NO REGISTRA,1,USAQUEN,HACIENDA SORRENTO,-74.036952727,4.807185917,10.0,October
64,V64,2012,2012-10-16,1190760,02010802000317,3,"Cipres, Pino cipres, Pino",0.719378660555,9.0,10.1,9.51694727,1,2.1,3.7,U11,NO REGISTRA,2,CHAPINERO,URBANIZACION EL CHICO,-74.05855105,4.676504132,10.0,October
65,V65,2012,2012-10-17,1190779,09012502000079,15,Eucalipto plateado,0.588871912401,30.0,10.5,7.90413,4,10.4,3.1,U15,NO REGISTRA,9,FONTIBON,CIUDAD SALITRE SPMZ I 16-17-22-23,-74.111072461,4.660539617,10.0,October
66,V66,2012,2012-10-20,1191018,04010504000195,25,Acacia japonesa,0.487012987013,17.0,11.2,11.3756821,2,14.3,5.6,P1,NO REGISTRA,4,SAN CRISTOBAL,MONTE BELLO,-74.088042773,4.566824767,10.0,October
67,V67,2012,2012-10-23,1210902,08010502000026,61,"Jazmin del cabo, laurel huesito",0.149605296664,4.0,6.87,2.08591535,2,1.8,3.4,L3,NO REGISTRA,8,KENNEDY,VILLA ALSACIA,-74.13692902,4.643112362,10.0,October
68,V68,2012,2012-11-13,584,19011503000369,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.0,6.0,0.0,0.0,0,2.6,3.7,P1,NO REGISTRA,19,CIUDAD BOLIVAR,SIERRA MORENA,-74.167258547,4.575574521,11.0,November
69,V69,2012,2012-11-16,1246748,110102030011016,26,"Acacia negra, gris",0.0,8.0,0.0,0.0,0,2.4,5.9,SIN INFORMACION,NO REGISTRA,11,SUBA,URBANIZACION POTOSI II SECTOR,-74.077654597,4.695399267,11.0,November
70,V70,2012,2012-11-30,1273680,09012301000357,3,"Cipres, Pino cipres, Pino",0.0,15.0,5.4,12.73441161,8,0.5,4.1,U13,NO REGISTRA,9,FONTIBON,URBANIZACION INDUSTRIAL MONTEVIDEO,-74.120706278,4.647517831,11.0,November
71,V71,2012,2012-12-06,1284891,18010802001261,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.0,6.0,0.0,0.0,0,2.7,3.1,U10,NO REGISTRA,18,RAFAEL URIBE URIBE,URBANIZACION QUIROGA VIII ETAPA,-74.121256694,4.57802507,12.0,December
72,V72,2012,2012-12-06,1284891,18010802001241,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.0,8.0,0.0,0.0,0,2.7,3.1,U10,NO REGISTRA,18,RAFAEL URIBE URIBE,URBANIZACION QUIROGA VIII ETAPA,-74.12075604,4.57750412,12.0,December
73,V73,2012,2012-12-06,1284985,01013905000614,26,"Acacia negra, gris",0.238731856379,10.0,9.0,9.32969823,12,19.8,3.0,U4,NO REGISTRA,1,USAQUEN,LUCERNA,-74.03858714,4.797122659,12.0,December
74,V74,2012,2012-12-07,1286879,02010902000133,336,Cerezo,0.31512605042,6.0,5.7,8.23545848,16,1.7,3.3,U13,NO REGISTRA,2,CHAPINERO,BARRIO CHICO NORTE III SECTOR,-74.055119323,4.681382879,12.0,December
75,V75,2012,2012-12-09,1289560,01020202000924,26,"Acacia negra, gris",0.4329004329,17.0,8.2,5.65949425,4,1.2,4.9,U13,NO REGISTRA,1,USAQUEN,SANTA ANA ORIENTAL,-74.031302671,4.684923564,12.0,December
76,V76,2012,2012-12-16,1301355,12020503000307,25,Acacia japonesa,0.0,22.0,0.0,0.0,0,0.6,3.2,U4,NO REGISTRA,12,BARRIOS UNIDOS,URBANIZACION COLOMBIANA DE CAPITALIZACION III SECT,-74.060349108,4.669979367,12.0,December
77,V77,2013,2013-01-03,1339739,02010804000224,101,Alamo de lombardia,0.451998981411,12.0,9.1,10.011256,28,0.5,4.0,U4,NO REGISTRA,2,CHAPINERO,URBANIZACION EL CHICO,-74.055394578,4.677494032,1.0,January
78,V78,2013,2013-01-03,1339919,16021702000221,26,"Acacia negra, gris",0.0,14.0,0.0,0.0,0,0.4,3.8,H4,NO REGISTRA,16,PUENTE ARANDA,ALCALA,-74.124236756,4.601850598,1.0,January
79,V79,2013,2013-01-06,1343914,18010304001428,58,Falso pimiento,0.0,7.0,0.0,0.0,0,0.6,5.1,P1,NO REGISTRA,18,RAFAEL URIBE URIBE,LOS MOLINOS I SECTOR,-74.108755961,4.553327184,1.0,January
80,V80,2013,2013-01-07,1344711,09013702000250,28,"Acacia baracatinga, acacia sabanera, acacia nigra",0.210084033613,6.0,6.5,3.4012445,10,0.3,3.3,U1,NO REGISTRA,9,FONTIBON,BARRIO CENTRO FONTIBON,-74.139568774,4.675144158,1.0,January
81,V81,2013,2013-01-09,1345852,NO REGISTRA,26,"Acacia negra, gris",0.0,8.0,0.0,0.0,0,0.3,3.9,SIN INFORMACION,NO REGISTRA,10,ENGATIVA,CIUDADELA COLSUBSIDIO,-74.110728195,4.726077218,1.0,January
82,V82,2013,2013-01-10,1347313,NO REGISTRA,56,Corono,0.0,3.0,0.0,0.0,0,0.2,4.6,SIN INFORMACION,NO REGISTRA,9,FONTIBON,URBANIZACION LAREDO,-74.147780626,4.681786054,1.0,January
83,V83,2013,2013-01-12,1350200,03010202000128,60,Jazmin de la china,0.0,4.0,1.6,4.0800148,0,0.2,2.5,U11,NO REGISTRA,3,SANTA FE,LA MAGDALENA,-74.067775655,4.624184059,1.0,January
84,V84,2013,2013-01-13,1351878,04010804000034,79,"Chicala, chirlobirlo, flor amarillo",0.108225108225,6.0,4.3,2.17778488,3,1.7,2.7,U13,NO REGISTRA,4,SAN CRISTOBAL,URBANIZACION EL SOCIEGO,-74.089687793,4.576424025,1.0,January
85,V85,2013,2013-01-15,1354440,NO REGISTRA,26,"Acacia negra, gris",0.0,9.0,0.0,0.0,0,1.6,3.5,SIN INFORMACION,NO REGISTRA,18,RAFAEL URIBE URIBE,CONJUNTO RESIDENCIAL BOSQUE DE SAN CARLOS,-74.105698364,4.573724695,1.0,January
86,V86,2013,2013-01-15,1355142,NO REGISTRA,125,Caucho benjamin,0.0,6.0,0.0,0.0,0,1.1,3.9,SIN INFORMACION,NO REGISTRA,11,SUBA,NIZA NORTE II SECTOR,-74.068032887,4.699081045,1.0,January
87,V87,2013,2013-01-17,1357837,09013302000039,241,Schefflera,0.0,4.0,2.9,2.70209577,14,0.2,2.8,U13,NO REGISTRA,9,FONTIBON,URBANIZACION MODELIA SECTOR D,-74.121534796,4.667000036,1.0,January
88,V88,2013,2013-01-17,1358200,NO REGISTRA,3,"Cipres, Pino cipres, Pino",0.0,12.0,0.0,0.0,0,0.4,3.3,SIN INFORMACION,NO REGISTRA,16,PUENTE ARANDA,INDUSTRIAL CENTENARIO,-74.097921201,4.623057461,1.0,January
89,V89,2013,2013-01-21,1364380,09012401000036,25,Acacia japonesa,0.229182582124,7.0,5.2,5.21998068,12,1.4,3.8,U13,NO REGISTRA,9,FONTIBON,CARLOS LLERAS RESTREPO,-74.116844028,4.657310214,1.0,January
90,V90,2013,2013-01-21,1364538,16022001000227,345,Cajeto,0.0,5.0,0.0,0.0,0,2.0,3.6,U11,NO REGISTRA,16,PUENTE ARANDA,LOS SAUCES (SAN JORGE CENTRAL III SECTOR),-74.116581061,4.595340964,1.0,January
91,V91,2013,2013-01-23,1367502,01020102000014,26,"Acacia negra, gris",0.152788388083,5.0,8.5,3.06782899,12,1.8,3.8,U9,NO REGISTRA,1,USAQUEN,CANTON NORTE,-74.04400804,4.683194045,1.0,January
92,V92,2013,2013-01-28,1376265,NO REGISTRA,37,Caucho sabanero,0.0,12.0,0.0,0.0,0,0.9,2.6,SIN INFORMACION,NO REGISTRA,8,KENNEDY,URBANIZACION CARVAJAL,-74.140683976,4.614643225,1.0,January
93,V93,2013,2013-02-04,1388562,11010602000274,61,"Jazmin del cabo, laurel huesito",0.206900942195,6.0,7.0,5.68192507,1,5.2,4.5,U14,NO REGISTRA,11,SUBA,URBANIZACION NIZA LTDA.,-74.078065086,4.715512332,2.0,February
94,V94,2013,2013-02-05,1390720,10011404000273,3,"Cipres, Pino cipres, Pino",0.19735166794,17.0,3.5,9.12731861,5,6.3,4.3,L3,NO REGISTRA,10,ENGATIVA,BOLIVIA,-74.11188617,4.71933787,2.0,February
95,V95,2013,2013-02-07,1393944,01022004000028,336,Cerezo,0.299210593328,5.0,6.8,8.21644566,3,0.0,2.3,L2,NO REGISTRA,1,USAQUEN,URBANIZACION BELMIRA,-74.031993681,4.719876565,2.0,February
96,V96,2013,2013-02-09,1398547,01021302000106,118,Acacia morada,0.576139546728,9.0,6.7,2.7632353,5,12.8,2.3,U13,NO REGISTRA,1,USAQUEN,URBANIZACION BELLA SUIZA,-74.031352963,4.705352154,2.0,February
97,V97,2013,2013-02-10,1399401,01021505000082,118,Acacia morada,0.353323147441,11.0,6.0,3.32194911,10,8.2,3.8,U13,NO REGISTRA,1,USAQUEN,URBANIZACION LOS CEDRITOS,-74.029816986,4.717937161,2.0,February
98,V98,2013,2013-02-10,1399596,NO REGISTRA,118,Acacia morada,0.0,5.0,0.0,0.0,0,1.0,4.0,SIN INFORMACION,NO REGISTRA,11,SUBA,URBANIZACION CARIMAGUA II,-74.058219189,4.741316123,2.0,February
99,V99,2013,2013-02-12,1401745,08012007000227,26,"Acacia negra, gris",0.041380188439,6.0,2.3,2.31999141,4,0.0,3.1,U13,NO REGISTRA,8,KENNEDY,URBANIZACION CARIMAGUA I SECTOR,-74.142762605,4.610232541,2.0,February
100,V100,2013,2013-02-12,1401756,0102103000070,94,Sauco,0.0,6.0,0.0,0.0,0,0.5,5.9,SIN INFORMACION,NO REGISTRA,1,USAQUEN,URBANIZACION BELLA SUIZA,-74.029603184,4.704782063,2.0,February
101,V101,2013,2013-02-13,1404091,11011504000155,26,"Acacia negra, gris",0.194168576522,13.0,11.7,10.19050899,5,6.1,3.3,H5,NO REGISTRA,11,SUBA,LA ESTRELLA,-74.112047481,4.738413946,2.0,February
102,V102,2013,2013-02-13,1402252,11011102000154,5,Pino patula,0.111408199643,4.0,4.4,5.12595833,2,5.6,3.4,L3,NO REGISTRA,11,SUBA,EL AGUINALDO,-74.089921584,4.736,2.0,February
